f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.347,0.663,0.944,83.28,-6.72
1.0,1.0,0.347,0.663,0.944,83.12,-6.74
1.0,1.0,0.347,0.663,0.944,83.37,-6.49
1.0,1.0,0.35,0.663,0.949,83.26,-6.63
1.0,1.0,0.376,0.698,0.949,87.08,-2.86
1.0,1.0,0.394,0.698,0.953,86.92,2.23
1.0,1.0,0.394,0.674,0.944,86.86,-0.85
1.0,1.0,0.413,0.674,0.958,83.39,-6.38
1.0,1.0,0.41,0.663,0.972,79.83,2.41
1.0,1.0,0.389,0.651,0.981,83.41,-5.6
1.0,1.0,0.381,0.64,0.977,71.99,5.28
1.0,1.0,0.376,0.64,0.986,78.52,-6.21
1.0,1.0,0.379,0.64,0.981,79.12,-0.52
1.0,1.0,0.376,0.64,0.977,79.87,-2.54
1.0,1.0,0.373,0.663,0.977,78.57,-2.08
1.0,1.0,0.373,0.674,0.977,76.99,-4.69
1.0,1.0,0.386,0.651,0.995,78.26,-5.64
1.0,1.0,0.394,0.628,0.991,78.03,-6.27
1.0,1.0,0.426,0.674,0.991,78.53,-5.85
1.0,1.0,0.402,0.674,0.986,77.86,-5.44
1.0,1.0,0.389,0.651,0.986,77.59,-3.06
1.0,1.0,0.373,0.64,0.981,79.09,-4.49
1.0,1.0,0.358,0.628,0.977,79.5,-3.56
1.0,1.0,0.339,0.628,0.977,80.11,-4.43
1.0,1.0,0.334,0.628,0.977,80.14,-4.13
1.0,1.0,0.324,0.628,0.977,80.21,-4.71
1.0,1.0,0.316,0.628,0.977,79.5,-5.36
1.0,1.0,0.303,0.64,0.972,79.75,-3.93
1.0,1.0,0.303,0.651,0.967,80.2,-4.09
1.0,1.0,0.303,0.686,0.972,78.62,-8.5
1.0,1.0,0.305,0.674,0.967,82.35,-3.46
1.0,1.0,0.303,0.686,0.967,81.07,-5.91
1.0,1.0,0.3,0.686,0.963,81.96,-5.96
1.0,1.0,0.313,0.674,0.958,79.26,-5.21
1.0,1.0,0.313,0.674,0.963,79.66,-7.07
1.0,1.0,0.316,0.674,0.972,80.29,-6.35
1.0,1.0,0.316,0.674,0.967,80.71,-5.27
1.0,1.0,0.319,0.686,0.967,80.3,-6.2
1.0,1.0,0.316,0.674,0.967,80.17,-5.92
1.0,1.0,0.319,0.674,0.967,80.86,-6.18
1.0,1.0,0.319,0.663,0.977,79.63,-5.58
1.0,1.0,0.321,0.674,0.972,79.87,-5.73
1.0,1.0,0.321,0.674,0.972,80.75,-6.42
1.0,1.0,0.324,0.663,0.972,81.19,-5.77
1.0,1.0,0.324,0.663,0.977,78.73,-6.21
1.0,1.0,0.326,0.663,0.981,80.04,-6.81
1.0,1.0,0.326,0.663,0.977,80.8,-6.14
1.0,1.0,0.326,0.663,0.986,80.59,-7.2
1.0,1.0,0.329,0.674,0.986,79.4,-7.47
1.0,1.0,0.332,0.686,0.981,80.95,-8.46
1.0,1.0,0.329,0.686,0.986,80.99,-6.02
1.0,1.0,0.329,0.686,0.977,80.46,-7.05
1.0,1.0,0.329,0.674,0.977,79.73,-6.9
1.0,1.0,0.332,0.674,0.977,79.66,-7.42
1.0,1.0,0.332,0.674,0.977,80.94,-6.12
1.0,1.0,0.332,0.674,0.981,80.95,-5.83
1.0,1.0,0.334,0.674,0.977,79.17,-8.84
1.0,1.0,0.332,0.674,0.977,79.31,-7.46
1.0,1.0,0.332,0.674,0.972,78.9,-9.13
1.0,1.0,0.332,0.674,0.977,79.84,-7.77
1.0,1.0,0.332,0.674,0.977,80.8,-7.24
1.0,1.0,0.329,0.674,0.977,80.59,-7.99
1.0,1.0,0.329,0.674,0.977,80.68,-8.2
1.0,1.0,0.332,0.674,0.977,80.74,-6.99
1.0,1.0,0.339,0.663,0.991,81.12,-7.1
1.0,1.0,0.342,0.651,0.986,80.62,-7.88
1.0,1.0,0.345,0.651,0.981,80.76,-7.38
1.0,1.0,0.342,0.651,0.981,80.59,-7.15
1.0,1.0,0.345,0.651,0.986,79.92,-8.75
1.0,1.0,0.342,0.651,0.981,79.57,-8.33
1.0,1.0,0.342,0.651,0.981,80.02,-8.8
1.0,1.0,0.342,0.651,0.981,78.83,-8.49
1.0,1.0,0.342,0.651,0.981,79.88,-7.99
1.0,1.0,0.339,0.651,0.977,78.65,-9.28
1.0,1.0,0.337,0.651,0.977,78.87,-6.87
1.0,1.0,0.337,0.651,0.977,80.02,-5.77
1.0,1.0,0.337,0.651,0.977,80.19,-7.26
1.0,1.0,0.337,0.651,0.981,78.21,-10.04
1.0,1.0,0.376,0.64,0.986,78.18,-9.95
1.0,1.0,0.371,0.628,0.981,78.83,-6.37
1.0,1.0,0.371,0.605,0.991,81.17,-0.94
1.0,1.0,0.366,0.651,1.0,82.03,-3.49
1.0,1.0,0.355,0.651,0.995,84.14,-2.97
1.0,1.0,0.352,0.64,0.991,81.48,-3.73
1.0,1.0,0.35,0.64,0.991,82.81,-2.09
1.0,1.0,0.35,0.674,0.986,79.37,-5.75
1.0,1.0,0.35,0.663,0.986,84.5,-0.24
1.0,1.0,0.337,0.663,0.986,82.6,-3.78
1.0,1.0,0.337,0.674,0.986,82.25,-5.74
1.0,1.0,0.337,0.674,0.986,82.16,-4.55
1.0,1.0,0.337,0.674,0.986,82.66,-4.58
1.0,1.0,0.337,0.64,0.981,80.83,-7.01
1.0,1.0,0.337,0.628,0.981,81.35,-6.1
1.0,1.0,0.339,0.616,0.981,83.19,-4.26
1.0,1.0,0.339,0.616,0.981,82.5,-5.4
1.0,1.0,0.337,0.616,0.981,81.17,-5.85
1.0,1.0,0.337,0.616,0.981,80.43,-5.39
1.0,1.0,0.337,0.605,0.981,82.46,-4.1
1.0,1.0,0.334,0.605,0.981,82.51,-4.03
1.0,1.0,0.337,0.605,0.981,80.77,-6.07
1.0,1.0,0.337,0.605,0.981,81.38,-4.98
1.0,1.0,0.337,0.605,0.986,83.71,-3.66
1.0,1.0,0.337,0.605,0.981,81.53,-5.37
1.0,1.0,0.337,0.593,0.981,80.47,-6.47
1.0,1.0,0.337,0.593,0.981,81.9,-4.84
1.0,1.0,0.337,0.593,0.981,83.04,-2.71
1.0,1.0,0.337,0.593,0.981,81.55,-5.86
1.0,1.0,0.337,0.593,0.981,80.04,-6.42
1.0,1.0,0.334,0.593,0.981,82.55,-4.15
1.0,1.0,0.334,0.593,0.981,81.72,-5.11
1.0,1.0,0.329,0.593,0.977,80.56,-6.99
1.0,1.0,0.326,0.581,0.977,80.51,-6.18
1.0,1.0,0.326,0.581,0.977,83.14,-4.38
1.0,1.0,0.326,0.581,0.977,83.02,-5.49
1.0,1.0,0.324,0.581,0.972,81.25,-6.98
1.0,1.0,0.319,0.581,0.958,81.93,-5.23
1.0,1.0,0.313,0.581,0.958,83.53,-3.0
1.0,1.0,0.313,0.581,0.953,82.29,-6.68
1.0,1.0,0.313,0.581,0.953,81.56,-5.71
1.0,1.0,0.313,0.581,0.958,82.92,-4.09
1.0,1.0,0.311,0.581,0.953,83.23,-4.78
1.0,1.0,0.311,0.581,0.958,82.08,-6.92
1.0,1.0,0.308,0.581,0.953,81.17,-7.05
1.0,1.0,0.308,0.581,0.953,83.75,-3.96
1.0,1.0,0.308,0.581,0.953,84.13,-4.74
1.0,1.0,0.311,0.581,0.953,81.38,-7.13
1.0,1.0,0.313,0.57,0.958,82.9,-5.32
1.0,1.0,0.313,0.57,0.958,83.3,-4.43
1.0,1.0,0.311,0.57,0.953,82.71,-6.88
1.0,1.0,0.311,0.558,0.953,81.5,-6.18
1.0,1.0,0.311,0.558,0.949,81.62,-6.61
1.0,1.0,0.311,0.558,0.953,72.11,-14.3
1.0,1.0,0.316,0.558,0.953,79.26,-6.28
1.0,1.0,0.332,0.547,0.949,74.0,-13.02
1.0,1.0,0.334,0.558,0.958,78.43,-2.9
1.0,1.0,0.334,0.547,0.949,78.31,-8.14
1.0,1.0,0.332,0.547,0.953,77.64,-10.94
1.0,1.0,0.329,0.547,0.949,76.98,-10.42
1.0,1.0,0.332,0.547,0.949,79.49,-8.84
1.0,1.0,0.332,0.547,0.953,79.3,-9.62
1.0,1.0,0.329,0.547,0.949,80.92,-9.0
1.0,1.0,0.326,0.547,0.944,74.07,-5.44
1.0,1.0,0.324,0.535,0.944,71.4,-16.53
1.0,1.0,0.326,0.535,0.949,75.2,-10.91
1.0,1.0,0.329,0.535,0.958,78.73,-3.94
1.0,1.0,0.332,0.535,0.958,74.58,-9.48
1.0,1.0,0.332,0.535,0.953,76.43,-1.96
1.0,1.0,0.332,0.523,0.949,70.95,-16.05
1.0,1.0,0.347,0.535,0.949,72.66,-11.12
1.0,1.0,0.339,0.535,0.949,70.7,-9.54
1.0,1.0,0.337,0.523,0.949,67.23,-4.24
1.0,1.0,0.334,0.523,0.949,67.02,-10.51
1.0,1.0,0.329,0.523,0.949,72.47,-11.1
1.0,1.0,0.332,0.535,0.949,69.89,-11.69
1.0,1.0,0.334,0.535,0.949,73.43,-10.94
1.0,1.0,0.334,0.535,0.963,73.66,-9.0
